"Gender","composite_name","n"
"female","Samantha Tuft",2
"female","Saoirse Gabhainn",2
"female","Sara Beck",2
"female","Sarah Allen",2
"female","Sarah Hennessy",2
"female","Shantala Hegde",2
"female","Sheng-Ying Weng",2
"female","Shuqi Dai",2
"female","Simone Falk",2
"female","Simran Kochar",2
"female","Sirke Nieminen",2
"female","Siw Nielsen",2
"female","Sofia Serra",2
"female","Solveig Sørbø",2
"female","Stefanie Hutka",2
"female","Stephanie Wan",2
"female","Susan Bowyer",2
"female","Susan O’Neill",2
"female","Susana Silva",2
"female","Sylka Uhlig",2
"female","Sylvie Hébert",2
"female","Tania Lisboa",2
"female","Teri Slade",2
"female","Thea Paulsrud",2
"female","Theano Koutsoupidou",2
"female","Tracy Lipke-Perry",2
"female","Tram Nguyen",2
"female","Tuula Jääskeläinen",2
"female","Tânia Lisboa",2
"female","Uma Gupta",2
"female","Valentina Persici",2
"female","Veronika Huta",2
"female","Veronika Lubert",2
"female","Wendy Magee",2
"female","Wendy Matthews",2
"female","Xi Zhang",2
"female","Xiaonuo Li",2
"female","Xuejing Lu",2
"female","Yili Gao",2
"female","Yufang Yang",2
"female","Yuko Arthurs",2
"female","Yulia Panteleeva",2
"female","Yvonne Leung",2
"female","Abigail Kleinsmith",1
"female","Acatia Finbow",1
"female","Adinda Klooster",1
"female","Adriana Letnic",1
"female","Adéla Becková",1
"female","Agata Kawalec",1
"female","Agata Wezyk",1
"female","Agata Zelechowska",1
"female","Agnes Chew",1
"female","Agnieszka Mensfelt",1
"female","Agostinha de Oliveira",1
"female","Ahyeon Choi",1
"female","Ai Kawakami",1
"female","Aimy Slade",1
"female","Aiyun Huang",1
"female","Akvilė Jadzgevičiūtė",1
"female","Aleksandra Buźniak",1
"female","Aleksandra Jacukowicz",1
"female","Alena Clim",1
"female","Alenka Kavčič",1
"female","Alessia Baccarani",1
"female","Alessia Colombo",1
"female","Alessia Milo",1
"female","Alessia Vitale",1
"female","Alexandra Belibou",1
"female","Alexandra Bruder",1
"female","Alexandra Linnemann",1
"female","Alexandra Neguţ",1
"female","Alexandra Smith",1
"female","Alexandra Taylor",1
"female","Alexandra Uitdenbogerd",1
"female","Alexandra Wuttke-Linnemann",1
"female","Alexis McIver",1
"female","Alice Bowmer",1
"female","Alice Broadway",1
"female","Alice Cancer",1
"female","Alice Chan",1
"female","Alice Chirico",1
"female","Alice Daquet",1
"female","Alice Frye",1
"female","Alice Mannino",1
"female","Alice O’Grady",1
"female","Alice Sanderson",1
"female","Alicia Escobedo",1
"female","Alicja Ryczkowska",1
